组织部,http://zzb.hust.edu.cn/
党校,http://zzb.hust.edu.cn/
总务长办公室,http://zwb.hust.edu.cn/
自动化学院,http://auto.hust.edu.cn/
注册中心,http://registrar.hust.edu.cn
中央财政科研项目资金管理政策,http://kyzj.fiscal.hust.edu.cn
中欧清洁与可再生能源学院,http://icare.hust.edu.cn/
智能制造技术教育部重点实验室,http://www.hust.edu.cn
智慧华中大（信息门户） ,http://one.hust.edu.cn/
远程与继续教育学院,http://www.hust-snde.com/
喻园晨光,http://sunshine.hust.edu.cn/
艺术教育中心,http://art.hust.edu.cn
仪器设备竞价网,http://cgzx.hust.edu.cn/
医药卫生管理学院,http://mms.tjmu.edu.cn/
药学院,http://pharm.tjmu.edu.cn
研究生资助网,http://gszz.hust.edu.cn
研究生招生信息网 ,http://gszs.hust.edu.cn
研究生招生,http://gszs.hust.edu.cn/
研究生院,http://gs.hust.edu.cn
研究生就业信息网,http://career.hust.edu.cn
研究生就业,http://career.hust.edu.cn/
研究生教育,http://gs.hust.edu.cn/
学校办公自动化（OA）系统 ,http://oa.hust.edu.cn/
学术委员会办公室,http://aco.hust.edu.cn/
学生综合管理系统,http://student.hust.edu.cn/
学生工作处,http://student.hust.edu.cn
学生工作部（处）,http://student.hust.edu.cn/
学科与发展规划办公室,http://odp.hust.edu.cn/
宣传部,http://xcb.hust.edu.cn/
信息门户,http://one.hust.edu.cn
新型电机国家专业实验室,http://www.hust.edu.cn
新闻与信息传播学院,http://sjic.hust.edu.cn
校长办公室,http://office.hust.edu.cn/
校园统一支付平台,http://pay.hust.edu.cn
校园卡服务平台,http://ecard.hust.edu.cn
校园风光,http://pic.hustonline.net/
校园地图,http://map.hustonline.net/
校友工作及对外联络办公室、 教育发展基金管理处,http://af.hust.edu.cn/
校医院,http://hospital.hust.edu.cn/
校外用户访问,http://www.hustwisco.com/
校团委,http://youth.hust.edu.cn/
校史研究室,http://xsyj.hust.edu.cn/
校内用户访问,http://hwjl.hust.edu.cn/
校工会,http://xgh.hust.edu.cn/
现代教育技术中心,http://edutech.hust.edu.cn/
物理学院,http://phys.hust.edu.cn/
武汉智能装备工业技术研究院有限公司,http://www.chinawie.com/
武汉国际微电子学院,http://ime.hust.edu.cn/
武汉光电国家实验室（筹）,http://www.wnlo.cn/
网络与信息化办公室,http://imo.hust.edu.cn/
网络与计算中心,http://ncc.hust.edu.cn/
网络信息反馈平台,http://advise.hust.edu.cn
外国语学院,http://sfl.hust.edu.cn/
外存储系统国家专业实验室,http://www.hust.edu.cn
土木工程与力学学院,http://civil.hust.edu.cn/
图像信息处理与智能控制教育部重点实验室,http://www.hust.edu.cn
图书馆,http://www.lib.hust.edu.cn
统战部,http://tzb.hust.edu.cn/
体质健康测试管理系统,http://tzjc.pe.hust.edu.cn
体育部,http://pe.hust.edu.cn/
水电与数字化工程学院,http://hae.hust.edu.cn/
数字制造装备与技术国家重点实验室,http://dmet.hust.edu.cn/
数字迎新平台,http://freshman.hust.edu.cn/
数学与统计学院,http://maths.hust.edu.cn/
实验室与设备管理处,http://leao.hust.edu.cn/
实践教学(更新中）,http://www.hust.edu.cn
生物医学光子学教育部重点实验室,http://ibp.hust.edu.cn/
生命科学与技术学院,http://life.hust.edu.cn/
审计处,http://audit.hust.edu.cn/
深圳华中科技大学研究院,http://shenzhen.hust.edu.cn/
社会学院,http://soci.hust.edu.cn/
软件学院,http://sse.hust.edu.cn/
人文学院,http://humanity.hust.edu.cn/
人文社会科学处,http://wenkechu.hust.edu.cn
人事处,http://hr.hust.edu.cn/
人才招聘网,http://employment.hust.edu.cn
强电磁工程与新技术国家重点实验室,http://www.hust.edu.cn
能源与动力工程学院,http://energy.hust.edu.cn/
煤燃烧国家重点实验室,http://nlcc.hust.edu.cn/
脉冲强磁场实验装置——国家脉冲强磁场科学中心（筹）,http://whmfc.hust.edu.cn/
马克思主义学院,http://politics.hust.edu.cn/
留学生招生,http://iso.hust.edu.cn/
留学生教育,http://sie.hust.edu.cn/
理论学习,http://focus.hustonline.net/
离退休工作处,http://ltxc.hust.edu.cn
劳动服务总公司,http://www.hust.edu.cn
课程平台(更新中）,http://www.hust.edu.cn
科学技术发展院 ,http://kfy.hust.edu.cn/
科协工作,http://kexie.hust.edu.cn/
科协 ,http://kexie.hust.edu.cn/
科技合作,http://www.hustgroup.net/
科技成果转化办公室,http://tto.hust.edu.cn/
经营性资产管理委员会办公室,http://jzb.hust.edu.cn
经济学院,http://eco.hust.edu.cn/
进入校企合作委员会主页,http://xqhz.hust.edu.cn/
教育科学研究院,http://jky.hust.edu.cn/
